post_id,title,category,score,num_comments,author,collected_at
47737542,Optimization of 32-bit Unsigned Division by Constants on 64-bit Targets,technology,108,14,mpweiher,2026-04-13 19:23:25
47757657,The Perils of an Over-Optimized Life,technology,13,0,jethronethro,2026-04-13 19:23:25
47755805,Evaluation of Claude Mythos Preview's cyber capabilities,technology,49,26,dgavey,2026-04-13 19:23:25
47737876,"Doom, Played over Curl",technology,119,30,creaktive,2026-04-13 19:23:25
47738864,Why AI Sucks at Front End,technology,112,158,tobr,2026-04-13 19:23:25
47757509,Zig 0.16 Milestone Completed,technology,18,4,praveer13,2026-04-13 19:23:25
47738978,"We have a 99% email reputation, but Gmail disagrees",technology,359,300,em-bee,2026-04-13 19:23:25
47743628,The peril of laziness lost,technology,461,142,gpm,2026-04-13 19:23:25
47724352,Filing the corners off my MacBooks,entertainment,1391,667,normanvalentine,2026-04-13 19:23:25
47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,51,0,mooreds,2026-04-13 19:23:25
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,237,88,Rochus,2026-04-13 19:23:25
47738343,The Physics of GPS,science,160,35,maouida,2026-04-13 19:23:25
47758287,Dear Master (an open letter from an early Facebook employee),entertainment,10,1,plonkus,2026-04-13 19:23:25
47749295,Show HN: Equirect – a Rust VR video player,sports,11,1,greggman65,2026-04-13 19:23:25
47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,623,152,iceberger2001,2026-04-13 19:23:25
47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,82,26,jscalo,2026-04-13 19:23:25
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,435,276,neversaydie,2026-04-13 19:23:25
47698111,Bevy game development tutorials and in-depth resources,sports,138,66,GenericCanadian,2026-04-13 19:23:25
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-13 19:23:25
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-13 19:23:25
47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,science,134,19,sohkamyung,2026-04-13 19:23:25
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-13 19:23:25
47758029,He Warned About the Dangers of A.I. If Only His Father Had Listened,worldnews,6,0,ceejayoz,2026-04-13 19:23:25
47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-13 19:23:25
47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-13 19:23:25
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-13 19:23:25
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-13 19:23:25
47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,29,12,thunderbong,2026-04-13 19:23:25
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,90,39,chrisecker,2026-04-13 19:23:25
