post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,82,26,jscalo,2026-04-13 19:23:25,0.3132530120481928,False
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",worldnews,435,276,neversaydie,2026-04-13 19:23:25,0.6330275229357798,True
47698111,Bevy game development tutorials and in-depth resources,sports,138,66,GenericCanadian,2026-04-13 19:23:25,0.4748201438848921,False
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-13 19:23:25,0.23529411764705882,True
47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-13 19:23:25,0.18421052631578946,False
47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,science,134,19,sohkamyung,2026-04-13 19:23:25,0.14074074074074075,False
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-13 19:23:25,0.23717948717948717,False
47758029,He Warned About the Dangers of A.I. If Only His Father Had Listened,worldnews,6,0,ceejayoz,2026-04-13 19:23:25,0.0,False
47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-13 19:23:25,0.5,False
47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-13 19:23:25,0.5069984447900466,True
47721946,JSON formatter Chrome plugin now closed and injecting adware,worldnews,287,136,jkl5xx,2026-04-13 19:23:25,0.4722222222222222,True
47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-13 19:23:25,0.047619047619047616,False
47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,29,12,thunderbong,2026-04-13 19:23:25,0.4,False
47722011,Show HN: A WYSIWYG word processor in Python,entertainment,90,39,chrisecker,2026-04-13 19:23:25,0.42857142857142855,False
